"Blooket
Import Template",,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)"
1,Which statement best describes a molecule?,A single proton,Two or more atoms chemically bonded together,Any group of particles touching,Only atoms of different elements,30,2
2,Which is the best example of a molecule?,"One oxygen atom, O",Two oxygen atoms bonded as O2,"One sodium ion, Na+",One neutron,30,2
3,What happens to atoms during a chemical change?,They disappear,They turn into energy,They rearrange to form new substances,They all become the same element,30,3
4,A correct before-and-after particle model of a chemical reaction should show what?,The same number of each type of atom before and after,More atoms after the reaction,Fewer atom types after every reaction,The same molecules before and after,30,1
5,"If a sample is heated and no chemical reaction occurs, what happens to its particles on average?",They move faster,They become different elements,They lose all motion,They gain extra atoms,30,1
6,"If a sample is cooled and no chemical reaction occurs, what happens to its particles on average?",They move faster,They move slower,They gain new bonds in every case,They change into new elements,30,2
7,"When a substance changes state but does not react chemically, what stays the same?",The identity of its molecules,The spacing between particles,The speed of every particle,The shape of the sample,30,1
8,How do particles in a solid usually move?,They vibrate around fixed positions,They move freely across the entire container,They stop moving completely,They move only upward,30,1
9,Which description best matches particles in a liquid?,They are close together and can move past one another,They are locked in fixed positions,They are extremely far apart and never collide,They have no motion,30,1
10,Which description best matches particles in a gas?,They are far apart and move freely,They are packed in a fixed pattern,They are motionless,They always form new molecules,30,1
11,Water freezes from liquid to solid with no chemical reaction. Which statement is correct?,H2O molecules become H3O molecules,H2O molecules remain H2O but their motion and arrangement change,Hydrogen atoms disappear,Oxygen atoms turn into hydrogen atoms,30,2
12,"A liquid is heated until it becomes a gas, with no chemical reaction. Which model change is best?",Same molecules moving faster and much farther apart,New atoms appearing between molecules,All molecules changing into new substances,Particles becoming motionless,30,1
13,The model 2 H2 + O2 -> 2 H2O is balanced because it has which atom counts on both sides?,2 H and 1 O,4 H and 2 O,4 H and 4 O,2 H and 2 O,30,2
14,A student draws 3 red atoms before a reaction but only 2 red atoms after. What is wrong with the model?,It violates conservation of atoms,It shows particles moving too fast,It has too many molecules before,Nothing is wrong,30,1
15,Which change in a particle model is the strongest sign of a chemical change?,The same molecules move farther apart,Atoms become bonded to different partners,Particles move faster but keep the same bonds,The container changes shape,30,2
16,A sealed sample is warmed from 20 C to 50 C and no reaction occurs. What should a particle model show?,Same molecules with greater average motion,More atoms than before,Different elements after heating,All bonds broken,30,1
17,A model shows identical AB molecules before and after heating. Which additional change best represents the higher temperature?,Longer motion arrows,Extra A atoms inside each molecule,Fewer B atoms,New AB2 molecules,30,1
18,Which comparison correctly distinguishes a chemical change from a physical change?,Chemical: atoms rearrange into new substances; Physical: particle motion or arrangement changes without new substances,Chemical: particles move; Physical: particles stop,Chemical: mass is lost; Physical: mass is created,Chemical: temperature changes; Physical: temperature never changes,30,1
19,Why should the total mass stay the same before and after a reaction in a closed container?,Atoms are conserved and only rearranged,Atoms have no mass,New matter enters the container,Temperature always stays constant,30,1
20,"Before a change, every particle is an AB molecule. After the change, the model shows A2 molecules and B2 molecules. What does this show?",A chemical change because bonding partners changed,Only a temperature change,No change at all,Atoms were destroyed,30,1
21,How many total atoms are in 3 CO2 molecules?,3,6,9,12,30,3
22,How many hydrogen atoms are in 4 H2O molecules?,4,6,8,12,30,3
23,Before a reaction there are 2 AB2 molecules. Which atom count must be present after the reaction?,2 A atoms and 4 B atoms,4 A atoms and 2 B atoms,2 A atoms and 2 B atoms,4 A atoms and 4 B atoms,30,1
24,Before: one A2 molecule and one B2 molecule. Which after-model conserves all atoms?,Two AB molecules,One AB molecule,Two A2B molecules,One A2 molecule only,30,1
25,Before: 2 A2 molecules and 1 B2 molecule. Which after-model conserves all atoms?,2 A2B molecules,1 A2B molecule,2 AB molecules,4 AB2 molecules,30,1
26,A particle model starts with 3 XY molecules. How many total atoms must be shown after a chemical change?,3,6,9,12,30,2
27,A gas is warmed from 20 C to 60 C without reacting. Which before-and-after model is best?,Same number and type of molecules with faster motion after,More molecules after because heat creates matter,Different atom types after,Fewer total atoms after,30,1
28,A liquid is cooled without reacting. Which change should a particle model show?,Lower average particle motion with the same molecular composition,New elements appearing,More atoms in each molecule,All particles disappearing,30,1
29,Before: 2 AB molecules and 1 C2 molecule. Which after-model conserves every atom?,2 AC molecules and 1 B2 molecule,1 AC molecule and 1 B2 molecule,2 A2C molecules,1 AB2 molecule and 2 C atoms,30,1
30,A student adds an extra oxygen atom to the product side of a particle model. What is the best correction?,Make the number of each atom type match before and after,Add even more oxygen atoms,Remove all reactant atoms,Change the temperature label only,30,1
