original_filename,final_filename,figure_number,caption_or_description,status,notes
batch 18/u7_5_from_ch_23_17_series_circuit_three_lamps_single_path.png,u7_5_from_ch_23_17_series_circuit_three_lamps_single_path.png,23.17,A simple series circuit. The 6-V battery provides 2 V across each lamp.,included,Included from supplied captured image archive.
batch 18/u7_5_from_ch_23_18_parallel_circuit_three_lamps_multiple_paths.png,u7_5_from_ch_23_18_parallel_circuit_three_lamps_multiple_paths.png,23.18,A simple parallel circuit. A 6-V battery provides 6 V across each lamp.,included,Included from supplied captured image archive.
batch 18/u7_5_from_ch_23_19_household_parallel_circuit_overload_current_sum.png,u7_5_from_ch_23_19_household_parallel_circuit_overload_current_sum.png,23.19,Circuit diagram for appliances connected to a household circuit.,included,Included from supplied captured image archive.
batch 18/u7_5_from_ch_23_20_safety_fuse_ribbon_melts_to_open_circuit.png,u7_5_from_ch_23_20_safety_fuse_ribbon_melts_to_open_circuit.png,23.20,A safety fuse.,included,Included from supplied captured image archive.
,,23.21,"Electrician Dave Hewitt with a safety fuse and a circuit breaker. He favors the old fuses, which he has found more reliable.",omitted_no_capture,No matching captured image was found in the supplied archive. It was not extracted from the PDF or recreated.
batch 18/u7_5_from_ch_23_pp_parallel_bulbs_ammeter_positions_a_b_c.png,,review/practice,Chapter review / Think and Rank style circuit image; not part of Section 23.9 body.,unused_not_in_section,Captured image was not included because this package is limited to the 23.9 section body plus explicitly tied Summary/Reading Check items.
batch 18/u7_5_from_ch_23_pp_mixed_series_parallel_three_bulb_circuit.png,,review/practice,Chapter review / practice circuit image; not part of Section 23.9 body.,unused_not_in_section,Captured image was not included because this package is limited to the 23.9 section body plus explicitly tied Summary/Reading Check items.
batch 18/u7_5_from_ch_23_pp_parallel_bulbs_total_current_with_ammeter.png,,review/practice,Chapter review / practice circuit image; not part of Section 23.9 body.,unused_not_in_section,Captured image was not included because this package is limited to the 23.9 section body plus explicitly tied Summary/Reading Check items.
batch 18/u7_5_from_ch_23_pp_single_bulb_battery_connection_paths_a_b_c.png,,review/practice,Chapter review / practice circuit image; not part of Section 23.9 body.,unused_not_in_section,Captured image was not included because this package is limited to the 23.9 section body plus explicitly tied Summary/Reading Check items.
batch 18/u7_5_from_ch_23_pp_voltmeter_readings_series_parallel_bulbs.png,,review/practice,Chapter review / Think and Rank style circuit image; not part of Section 23.9 body.,unused_not_in_section,Captured image was not included because this package is limited to the 23.9 section body plus explicitly tied Summary/Reading Check items.
batch 19/u7_5_from_ch_23_pp_three_bulb_circuit_brightness_a_b_c.png,,review/practice,Chapter review / Think and Rank style circuit image; not part of Section 23.9 body.,unused_not_in_section,Captured image was not included because this package is limited to the 23.9 section body plus explicitly tied Summary/Reading Check items.
batch 19/u7_5_from_ch_23_pp_two_bulb_circuit_with_switch_a_b.png,,review/practice,Chapter review / practice circuit image; not part of Section 23.9 body.,unused_not_in_section,Captured image was not included because this package is limited to the 23.9 section body plus explicitly tied Summary/Reading Check items.
batch 19/u7_5_from_ch_23_pp_three_bulb_circuit_compare_connection_paths.png,,review/practice,Chapter review / practice circuit image; not part of Section 23.9 body.,unused_not_in_section,Captured image was not included because this package is limited to the 23.9 section body plus explicitly tied Summary/Reading Check items.
batch 19/u7_5_from_ch_23_pp_lightbulb_battery_contacts_complete_circuit_cases.png,,review/practice,Chapter review / practice circuit image; not part of Section 23.9 body.,unused_not_in_section,Captured image was not included because this package is limited to the 23.9 section body plus explicitly tied Summary/Reading Check items.
batch 19/u7_5_from_ch_23_pp_lightbulb_battery_connection_cases_1_to_5.png,,review/practice,Chapter review / practice circuit image; not part of Section 23.9 body.,unused_not_in_section,Captured image was not included because this package is limited to the 23.9 section body plus explicitly tied Summary/Reading Check items.
