mastery_goal_id,i_can_id,i_can_exact_text,no_evidence_count,developing_count,mastered_count,transfer_count
U1-MG01,U1-MG01-IC01,I can distinguish an observation from an inference.,4,6,0,0
U1-MG01,U1-MG01-IC02,"I can distinguish a hypothesis, scientific law, and scientific theory by what each does in science.",4,5,1,0
U1-MG01,U1-MG01-IC03,I can decide whether a claim is testable and use evidence to judge whether the claim is supported.,0,10,0,0
U1-MG01,U1-MG01-IC04,I can explain what a formula or model says about the relationship between physical quantities.,0,6,4,0
U1-MG02,U1-MG02-IC01,I can explain Newton’s First Law in everyday language.,10,0,0,0
U1-MG02,U1-MG02-IC02,"I can explain that inertia is a property of matter, not a force.",10,0,0,0
U1-MG02,U1-MG02-IC03,I can distinguish between no forces acting and zero net force.,10,0,0,0
U1-MG02,U1-MG02-IC04,"I can identify weight, support force, and applied pushes or pulls acting on an object in a simple situation.",10,0,0,0
U1-MG03,U1-MG03-IC01,I can use vector arrow direction and length to represent a force’s direction and relative magnitude.,1,9,0,0
U1-MG03,U1-MG03-IC02,I can combine forces acting in the same or opposite directions to determine net force.,1,9,0,0
U1-MG03,U1-MG03-IC03,I can determine the direction and relative magnitude of the resultant/net force from a simple force-vector diagram.,1,9,0,0
U1-MG03,U1-MG03-IC04,I can distinguish static equilibrium from dynamic equilibrium.,10,0,0,0
U1-MG03,U1-MG03-IC05,I can explain how an object can have forces acting on it and still have zero net force.,10,0,0,0
U1-MG03,U1-MG03-IC06,I can use the equilibrium rule to determine an unknown horizontal or vertical force.,10,0,0,0
U1-MG03,U1-MG03-IC07,I can explain why zero net force means an object remains at rest or moves with constant velocity in a straight line.,10,0,0,0
U1-MG04,U1-MG04-IC01,I can draw a force diagram that includes only the forces acting on the chosen object.,10,0,0,0
U1-MG04,U1-MG04-IC02,I can use a force diagram to decide whether the forces are balanced or unbalanced.,10,0,0,0
U1-MG04,U1-MG04-IC03,I can use net force to predict whether an object’s velocity will stay the same or change.,10,0,0,0
U1-MG04,U1-MG04-IC04,I can critique and revise an incorrect force model or force explanation using evidence and physics vocabulary.,10,0,0,0
