structure_id,category,applicability,destinations,content_types,response_type,required_representation,dok_range,bloom_process_descriptors,evidence_produced,works_well_when,avoid_when,security_suitability,provenance
PROC-SELECT-STRATEGY-01,1. Procedural / Fluency,"Alg1, Alg2, PreCalc, APCalc","Warm-Up, Practice, Quick Check","any topic with 2+ valid solution strategies (factoring, limits, integration technique)",short constructed-response,equation/expression,2 (apply known procedure after correct classification) — does not reach 3 unless multiple structurally different problems are bundled and compared,"Apply, and Analyze (classification step)","whether the student has procedure *recognition*, not just execution","a unit has multiple procedures students conflate (e.g., u-substitution vs. direct integration)",there's only one plausible strategy — the classification step becomes fake,Formative/Practice only — trivially memorized once strategy-cues are known,"AP Calculus CED Skill 1.C (""Identify an appropriate mathematical rule or procedure based on the classification of a given expression"")"
PROC-MULTISTEP-CHAIN-01,1. Procedural / Fluency,all math/science courses,"Notes, Practice, Exit Ticket, Quick Check, Summative",any task where an intermediate result is required to obtain the final requested result,short or extended constructed-response; usually one final requested answer,"equation/expression/data/diagram as appropriate, with intermediate work visible when useful","2–3. More steps alone do not raise DOK. DOK rises only when the student must decide what intermediate quantity is needed, choose among relationships, or interpret the intermediate result before continuing.","Apply, Analyze when the student must determine the needed intermediate quantity/relationship",whether the student can connect dependent ideas and carry a meaningful intermediate result into a final solution rather than treating procedures as isolated facts,"the learning target genuinely requires a chain, such as finding volume before density, inferring a constant speed from one trip before predicting another trip, or determining a temperature change before converting that change to another scale","a second calculation is appended only to make the problem longer, or when two unrelated answers are requested with no dependency between them",Summative-safe with new values/context when the chain itself must be reasoned through,"user-defined curriculum rule for meaningful dependent multi-step work; aligned with general chained-procedure structures but intentionally revised so multi-step means dependency, not merely multiple formulas or multiple answers"
REPTRANS-TRANSLATE-VERBAL-SYMBOLIC-01,2. Representation Transfer,"Alg1, Alg2, cross-curricular","Notes, Warm-Up, Practice","equation-writing, expression-building",matching or short constructed-response,prose → equation (or reverse),"1–2 (translation is DOK 2 when the sentence structure is non-trivial, e.g. layered comparisons)",Understand,whether a student can separate mathematical structure from surface wording,"introducing equation-writing, or diagnosing whether errors are conceptual (setup) vs. computational (execution) — pair with PROC problems to isolate which","context is too thin to actually require translation (single-step ""x plus 3 is 10"" type items add no value at DOK 2)",Formative,"CPM's ""match mathematical sentence to translation"" lesson-opener pattern (matching multiple close variants, not a single translate-and-solve item)"
REPTRANS-GRAPH-TABLE-EQUATION-01,2. Representation Transfer,"Alg1, Alg2, PreCalc, APCalc, Physics","Notes, Practice, Summative","functions, relations, motion, any covariational relationship","graph/diagram production, table completion, or short constructed-response",student produces one representation given a different one (any pairing of graph/table/equation/verbal),"2, reaching 3 if the representation given is incomplete/noisy (e.g., a table with unevenly spaced x-values) and the student must first determine structure before transferring","Understand, Apply","whether a student's understanding of a concept (e.g., ""rate of change"") is representation-independent or tied to one format","you want to know if a student has a genuine concept of a feature (slope, limit, period) vs. a procedural trick for one representation only",used as pure busywork transfer with no new structural feature to identify (transferring a trivial y = x + 1 gains nothing),Summative-safe with parameter variation,"AP Calculus CED Skill 2.C (""Identify a re-expression of mathematical information presented in a given representation""); pattern also present throughout CPM's routine pairing of table/equation/graph for the same model"
REPTRANS-MULTIPLE-SIMULTANEOUS-01,2. Representation Transfer,"Alg1, Alg2, PreCalc, APCalc","PT, Summative",function modeling,"extended constructed-response, three-part","all three of table, equation, graph, produced by the student from the same verbal prompt, with solution required in all three","3 (requires students to explain *why* the solution appears consistently across representations, not just produce three separate answers)","Apply, Analyze",whether a student sees representations as equivalent views of one relationship rather than three disconnected procedures,"capstone/PT tasks where representation fluency itself is the target, not just the underlying algebra",the underlying algebra is itself the target skill being newly introduced — layering three representations on a brand-new skill overloads working memory,"Summative-safe, ideal for PT","CPM's ""represent this problem with tables, equations, and one graph; use each representation to find the solution"" task framing (a documented, recurring CPM instruction pattern, not a specific problem)"
MODEL-COMPARE-TWO-LINEAR-01,3. Model Construction & Comparison,"Alg1, Alg2","Practice, PT, Summative","linear/exponential growth comparison, break-even, intersection-in-context",extended constructed-response,equation and graph minimum; table optional,"3 (student must decide how to compare, not just execute a given comparison)","Apply, Analyze","whether a student understands intersection as ""equal outputs,"" not just ""solve the system because that's the unit""","introducing systems of equations in context, or connecting linear models to exponential ones for growth-rate reasoning","the ""compare two things"" framing is bolted onto a routine system-solving problem without a genuine decision point (e.g., if it's obvious from the setup which grows faster, there's no real comparison happening)",Summative-safe with new contexts/rates each version,"CPM's recurring two-growth-rate comparison task type (documented pattern across multiple CC Algebra lessons, not a specific problem)"
MODEL-SELECT-BEST-FIT-01,3. Model Construction & Comparison,"Alg1, Alg2, PreCalc, Physics, Bio","Practice, Summative",data modeling — linear vs. quadratic vs. exponential,short constructed-response with justification,data set (table or scatterplot) → model type + equation,3,"Analyze, Evaluate","whether a student can reason about model *appropriateness*, not just curve-fitting mechanics","you want to prevent the common failure mode of students defaulting to ""linear"" for every data set",the data set has an obvious visual signature that removes the reasoning (a extremely curved scatterplot makes the justification trivial),Summative-safe with new data sets,"general model-selection framing informed by CPM's ""models are usually not perfect representations"" framing around line-of-best-fit lessons"
INVERSE-GIVEN-OUTPUT-FIND-INPUT-01,4. Inverse / Reverse Reasoning,"all math courses, Physics","Practice, Warm-Up, Summative","any invertible process (functions, equations, physics formulas)",short constructed-response,equation,"2, reaching 3 when the inverse is non-unique and student must reason about which solutions are valid in context (domain restrictions)","Apply, Analyze (when domain-restriction reasoning is required)","whether a student's procedural fluency is direction-independent, i.e. a genuine grasp of the relationship rather than a memorized forward algorithm",following a unit that has only practiced forward computation — this is the natural check for whether understanding is bidirectional,the inverse operation is trivial/identical to the forward one (little new reasoning gained),Summative-safe,general algebra/physics pattern; domain-rejection reasoning drawn from standard projectile-motion task structure
INVERSE-WORK-BACKWARD-FROM-GRAPH-01,4. Inverse / Reverse Reasoning,"APCalc, PreCalc, Physics","Practice, Summative","derivative/rate graphs, velocity-position relationships",graph/diagram production,"graph → graph (student sketches the ""opposite"" function)",3,Analyze,whether a student has a graphical/conceptual understanding of the derivative relationship independent of algebraic differentiation,"reinforcing that the derivative is a *rate of change relationship*, not just a symbol-pushing operation","students haven't yet built the sign-to-shape reasoning explicitly in notes — this architecture assumes that connection has been taught, not discovered cold",Summative-safe (graph can vary each version),"standard AP Calculus ""work backward"" framing; explicitly named as a sample instructional activity type in the AP Calculus CED (Unit 1, ""Work Backward"" activity)"
ERROR-DIAGNOSE-WORKED-SOLUTION-01,5. Error Diagnosis / Misconception,all math/science courses,"Practice, Formative, Exit Ticket","any procedure prone to a specific, well-documented student error",short constructed-response,worked solution (given) + prose explanation (produced),"3 (requires evaluating someone else's reasoning, not just executing your own)","Analyze, Evaluate","direct evidence of whether the student holds the specific misconception themselves, since correctly diagnosing it usually requires not making the same error","you have identified a specific, recurring class error (e.g., from a prior bank audit) worth targeting directly","used generically without a real, documented misconception behind it — becomes an empty ""find the mistake"" exercise with no diagnostic value",Formative-preferred; fine for Summative if the specific worked solution varies,"general error-analysis architecture; matches the ""diagnose flawed reasoning"" pattern flagged as needed in the Physics bank audit (see [[physics-curriculum]] pass_bad_questions system)"
