original_filename,final_filename,figure_number,caption_or_description,status,notes
batch 14/u6_3_from_ch_28_13_lifeguard_least_time_refraction_path.png,u6_3_from_ch_28_13_lifeguard_least_time_refraction_path.png,28.13,Refraction.,included,
batch 14/u6_3_from_ch_28_14_refraction_angles_air_to_water.png,u6_3_from_ch_28_14_refraction_angles_air_to_water.png,28.14,INTERACTIVE FIGURE Refraction.,included,
batch 14/u6_3_from_ch_28_15_refraction_through_window_glass_parallel_displacement.png,u6_3_from_ch_28_15_refraction_through_window_glass_parallel_displacement.png,28.15,"Refraction through glass. Although dashed line AC is the shortest path, light takes a slightly longer path through the air from A to a, then a shorter path through the glass to c, and then to C. The emerging light is displaced but parallel to the incident light.",included,
batch 14/u6_3_from_ch_28_16_prism_least_time_refraction_path.png,u6_3_from_ch_28_16_prism_least_time_refraction_path.png,28.16,A prism.,included,
batch 14/u6_3_from_ch_28_17_curved_prism_equal_time_paths.png,u6_3_from_ch_28_17_curved_prism_equal_time_paths.png,28.17,A “curved prism.”,included,
batch 14/u6_3_from_ch_28_18_converging_lens_equal_time_paths.png,u6_3_from_ch_28_18_converging_lens_equal_time_paths.png,28.18,A converging lens.,included,
batch 14/u6_3_from_ch_28_19_atmospheric_refraction_apparent_sun_position.png,u6_3_from_ch_28_19_atmospheric_refraction_apparent_sun_position.png,28.19,"Because of atmospheric refraction, when the Sun is near the horizon, it appears to be higher in the sky.",included,
batch 14/u6_3_from_ch_28_pp_seal_lifeguard_refraction_path_fast_in_water.png,u6_3_from_ch_28_pp_seal_lifeguard_refraction_path_fast_in_water.png,checkpoint,Check Your Answer diagram showing the seal’s path of least time bending differently because it can swim faster than it can run.,included,Unnumbered checkpoint answer diagram.
batch 14/u6_3_from_ch_28_21_snells_law_indices_angles_theta1_theta2.png,u6_3_from_ch_28_21_snells_law_indices_angles_theta1_theta2.png,28.21,Refraction relates to indices of refraction in accord with Snell’s law.,included,
batch 14/u6_3_from_ch_28_22_mirage_hot_road_refracted_sky_light.png,u6_3_from_ch_28_22_mirage_hot_road_refracted_sky_light.png,28.22,"Light from the sky picks up speed in the air near the ground because that air is hotter and less dense than the air above. When the light grazes the surface and bends upward, the observer sees a mirage.",included,
,,28.20,The Sun’s shape is distorted by differential refraction.,omitted_no_capture,No matching captured image found in supplied archive.
,,28.23,"A mirage. The apparent wetness of the road is not reflection of the sky by water but, rather, refraction of sky light through the hotter and less-dense air near the road surface.",omitted_no_capture,No matching captured image found in supplied archive.
batch 14/u6_3_from_ch_28_24_cart_wheels_sidewalk_to_grass_refraction_model.png,,28.24,The direction of the rolling wheels changes when one wheel slows down before the other one does.,unused_not_in_section,"Captured image belongs to Section 28.4, not Section 28.3."
batch 14/u6_3_from_ch_28_25_wavefront_refraction_air_to_water.png,,28.25,The direction of the light waves changes when one part of each wave slows down before the other part.,unused_not_in_section,"Captured image belongs to Section 28.4, not Section 28.3."
