original_filename,final_filename,figure_number,caption_or_description,status,notes
batch 5/u3_4_from_ch_5_pp_van_trailer_mass_velocity_rank_abc.png,u3_4_from_ch_5_pp_van_trailer_mass_velocity_rank_abc.png,Think and Rank 31,"Van exerting force on trailers of different masses A, B, and C.",included,Strong visual match; copied from the supplied captured image archive.
batch 5/u3_4_from_ch_5_pp_boxes_same_force_different_mass_abc.png,u3_4_from_ch_5_pp_boxes_same_force_different_mass_abc.png,Think and Rank 32,Three box systems pulled by the same force F on a friction-free surface.,included,Strong visual match; copied from the supplied captured image archive.
batch 5/u3_4_from_ch_5_pp_pucks_ice_speed_2_4_6_ms_abc.png,u3_4_from_ch_5_pp_pucks_ice_speed_2_4_6_ms_abc.png,Think and Rank 33,"Three identical pucks moving at 2 m/s, 4 m/s, and 6 m/s across ice.",included,Strong visual match; copied from the supplied captured image archive.
batch 5/u3_4_from_ch_5_pp_weightlifter_barbell_overhead_force_arrows.png,u3_4_from_ch_5_pp_weightlifter_barbell_overhead_force_arrows.png,Think and Explain 44,Athlete holding a barbell overhead with a force arrow.,included,Strong visual match; copied from the supplied captured image archive.
batch 5/u3_4_from_ch_5_pp_person_standing_gravity_normal_force.png,u3_4_from_ch_5_pp_person_standing_gravity_normal_force.png,Think and Explain 45,Person standing still with downward gravity and upward support force arrows.,included,Strong visual match; copied from the supplied captured image archive.
batch 5/u3_4_from_ch_5_pp_strongman_between_equal_mass_carts.png,u3_4_from_ch_5_pp_strongman_between_equal_mass_carts.png,Think and Explain 49,Strong man pushing two equal-mass freight cars apart.,included,Strong visual match; copied from the supplied captured image archive.
batch 5/u3_4_from_ch_5_pp_carts_m_2m_compressed_spring_release.png,u3_4_from_ch_5_pp_carts_m_2m_compressed_spring_release.png,Think and Explain 50,Two carts of masses m and 2m joined by a compressed spring.,included,Strong visual match; copied from the supplied captured image archive.
batch 6/u3_4_from_ch_5_pp_tug_of_war_scale_tension_question.png,u3_4_from_ch_5_pp_tug_of_war_scale_tension_question.png,Think and Explain 55,Two people pulling on scales attached to the ends of a horizontal rope.,included,Strong visual match; copied from the supplied captured image archive.
batch 5/u3_4_from_ch_5_pp_stone_on_ground_weight_vector.png,u3_4_from_ch_5_pp_stone_on_ground_weight_vector.png,Think and Explain 61,Stone at rest on the ground with a downward weight vector.,included,Strong visual match; copied from the supplied captured image archive.
batch 6/u3_4_from_ch_5_pp_stone_suspended_string_force_vectors.png,u3_4_from_ch_5_pp_stone_suspended_string_force_vectors.png,Think and Explain 62,Stone suspended at rest by a string.,included,Strong visual match; copied from the supplied captured image archive.
batch 6/u3_4_from_ch_5_pp_stone_accelerating_upward_force_vectors.png,u3_4_from_ch_5_pp_stone_accelerating_upward_force_vectors.png,Think and Explain 63,Stone being accelerated vertically upward by a string.,included,Strong visual match; copied from the supplied captured image archive.
batch 6/u3_4_from_ch_5_pp_stone_sliding_frictionless_incline.png,u3_4_from_ch_5_pp_stone_sliding_frictionless_incline.png,Think and Explain 66,Stone sliding down a friction-free incline.,included,Strong visual match; copied from the supplied captured image archive.
batch 6/u3_4_from_ch_5_pp_stone_block_on_incline_two_normals.png,u3_4_from_ch_5_pp_stone_block_on_incline_two_normals.png,Think and Explain 67,Stone at rest against an inclined surface and a block.,included,Strong visual match; copied from the supplied captured image archive.
batch 6/u3_4_from_ch_5_pp_spring_scale_100n_each_side.png,u3_4_from_ch_5_pp_spring_scale_100n_each_side.png,Think and Discuss 76,Spring scale pulled by two 100-N weights.,included,Strong visual match; copied from the supplied captured image archive.
batch 6/u3_4_from_ch_5_pp_strongman_horses_tree_tension_comparison.png,u3_4_from_ch_5_pp_strongman_horses_tree_tension_comparison.png,Think and Discuss 80,"Strong man, two horses, and tree tension comparison.",included,Strong visual match; copied from the supplied captured image archive.
,,Think and Explain 35,Photo of Steve Hewitt and daughter Gretchen touching each other.,omitted_no_capture,No matching captured image was found in the supplied archive.
batch 5/u3_4_from_ch_5_28_geese_v_formation_aerodynamic_lift.png,u3_4_from_ch_5_28_geese_v_formation_aerodynamic_lift.png,Figure 5.28,Geese flying in a V formation.,unused_not_in_section,"Belongs to Section 5.5 and was already used in cp_section_5_5, not duplicated in this review package."
